Time (ps),Quercetin-FN1,pQ3RU-FN1
1340,2.138642,2.205375
1342,2.134039,2.197464
1344,2.137001,2.194908
1346,2.138667,2.195844
1348,2.141029,2.191874
1350,2.145797,2.190829
1352,2.142606,2.185358
1354,2.140541,2.186753
1356,2.148458,2.198326
1358,2.144656,2.190372
1360,2.157477,2.195561
1362,2.153594,2.197415
1364,2.156158,2.191096
1366,2.151825,2.194342
1368,2.14124,2.195372
1370,2.153107,2.189339
1372,2.155751,2.19216
1374,2.158087,2.193954
1376,2.15708,2.201538
1378,2.154786,2.201839
1380,2.143366,2.209956
1382,2.150221,2.209169
1384,2.14207,2.206702
1386,2.146835,2.209408
1388,2.135317,2.202542
1390,2.127095,2.201803
1392,2.140223,2.191794
1394,2.147694,2.195502
1396,2.150022,2.199063
1398,2.150201,2.207154
1400,2.137064,2.205927
1402,2.14362,2.226241
1404,2.142101,2.225498
1406,2.143404,2.214848
1408,2.149483,2.21375
1410,2.142623,2.220319
1412,2.144797,2.233626
1414,2.144767,2.233081
1416,2.143574,2.241206
1418,2.139646,2.241678
1420,2.14921,2.244953
1422,2.14108,2.230683
1424,2.149242,2.233249
1426,2.142657,2.229914
1428,2.131382,2.230267
1430,2.126518,2.239352
1432,2.127576,2.227579
1434,2.137359,2.227652
1436,2.12846,2.230857
1438,2.128824,2.236846
1440,2.129964,2.218858
1442,2.121534,2.217346
1444,2.114657,2.218707
1446,2.117209,2.22662
1448,2.120559,2.220206
1450,2.119123,2.216474
1452,2.125084,2.210654
1454,2.118645,2.212518
1456,2.113344,2.209711
1458,2.11009,2.21049
1460,2.119732,2.214134
1462,2.123498,2.202732
1464,2.119777,2.207922
1466,2.127833,2.201476
1468,2.126394,2.20684
1470,2.130578,2.207699
1472,2.132935,2.194752
1474,2.121134,2.197411
1476,2.120713,2.200143
1478,2.123719,2.205436
1480,2.129568,2.195779
1482,2.121237,2.205278
1484,2.122603,2.204983
1486,2.129275,2.199638
1488,2.133884,2.213122
1490,2.132562,2.209743
1492,2.137948,2.209996
1494,2.129978,2.208326
1496,2.125085,2.207978
1498,2.114192,2.210203
1500,2.120734,2.216352
1502,2.125645,2.216458
1504,2.130844,2.217657
1506,2.125748,2.20858
1508,2.124759,2.214225
1510,2.130373,2.224682
1512,2.128018,2.216901
1514,2.133275,2.217718
1516,2.116675,2.226925
1518,2.116112,2.221337
1520,2.105702,2.228379
1522,2.10955,2.23243
1524,2.122648,2.222313
1526,2.114664,2.22032
1528,2.120849,2.219525
1530,2.12135,2.217142
1532,2.114751,2.224255
1534,2.121404,2.220569
1536,2.121104,2.231409
1538,2.12453,2.231864
1540,2.123775,2.234983
1542,2.128989,2.224087
1544,2.127524,2.219405
1546,2.131708,2.227497
1548,2.136637,2.216849
1550,2.14062,2.206852
1552,2.13332,2.213372
1554,2.135767,2.227337
1556,2.127338,2.220914
1558,2.135742,2.21508
1560,2.13253,2.221989
1562,2.133654,2.222803
1564,2.128121,2.212125
1566,2.127004,2.212788
1568,2.127252,2.217263
1570,2.134664,2.219175
1572,2.130949,2.223428
1574,2.129016,2.248026
1576,2.128603,2.231639
1578,2.139416,2.231321
1580,2.138403,2.229166
1582,2.137913,2.219763
1584,2.136307,2.224385
1586,2.129674,2.225649
1588,2.13377,2.225486
1590,2.129557,2.23227
1592,2.13393,2.223851
1594,2.144544,2.218555
1596,2.136554,2.220163
1598,2.137497,2.212232
1600,2.133738,2.215876
