Time (ns),Quercetin-FN1,pQ3RU-FN1
0.6300001,0.2036777,0.3697370
0.6320000,0.2106802,0.3625425
0.6340000,0.2042648,0.3639375
0.6360000,0.1960704,0.3678222
0.6380000,0.2012005,0.3631017
0.6400000,0.2012790,0.3607646
0.6420000,0.2059880,0.3540999
0.6440001,0.2010463,0.3438895
0.6460000,0.1943708,0.3451446
0.6480000,0.1830768,0.3464472
0.6500000,0.1821655,0.3551325
0.6520000,0.1899151,0.3543248
0.6540000,0.1892357,0.3506030
0.6560000,0.1879405,0.3422581
0.6580001,0.2085294,0.3467045
0.6600000,0.2160845,0.3456986
0.6620001,0.2053885,0.3257125
0.6640000,0.1938605,0.3337715
0.6660000,0.1999195,0.3404717
0.6680000,0.2033899,0.3554382
0.6700000,0.1968175,0.3467113
0.6720001,0.1916224,0.3294783
0.6740000,0.1947253,0.3286845
0.6760001,0.1937605,0.3262107
0.6780000,0.1828238,0.3386447
0.6800000,0.1862336,0.3436435
0.6820000,0.1751056,0.3442434
0.6840000,0.1754531,0.3315542
0.6860000,0.1683363,0.3305079
0.6880000,0.1667895,0.3217443
0.6900001,0.1654419,0.3328637
0.6920000,0.1669269,0.3409413
0.6940000,0.1651553,0.3359118
0.6960000,0.1643012,0.3382244
0.6980000,0.1617168,0.3307473
0.7000000,0.1530003,0.3330459
0.7020000,0.1574067,0.3311511
0.7040001,0.1684560,0.3558872
0.7060000,0.1762898,0.3609230
0.7080000,0.1771945,0.3603708
0.7100000,0.1659266,0.3497059
0.7120000,0.1768656,0.3509877
0.7140000,0.1732568,0.3498859
0.7160000,0.1678722,0.3479576
0.7180001,0.1677831,0.3640440
0.7200000,0.1707025,0.3561510
0.7220001,0.1630879,0.3601497
0.7240000,0.1636000,0.3605478
0.7260000,0.1676246,0.3591989
0.7280000,0.1688499,0.3568937
0.7300000,0.1728886,0.3633572
0.7320001,0.1708824,0.3489699
0.7340000,0.1691089,0.3521776
0.7360001,0.1618284,0.3423812
0.7380000,0.1782776,0.3526531
0.7400000,0.1846132,0.3645764
0.7420000,0.1755713,0.3852965
0.7440000,0.1858340,0.3847753
0.7460001,0.1821766,0.3923011
0.7480000,0.1943896,0.3846347
0.7500001,0.1821269,0.3911829
0.7520000,0.1788601,0.3882655
0.7540000,0.1768550,0.3967139
0.7560000,0.1813565,0.4005617
0.7580000,0.1807646,0.4023350
0.7600001,0.1840176,0.3826487
0.7620000,0.1833800,0.3754485
0.7640001,0.1846902,0.3867351
0.7660000,0.1871508,0.3992011
0.7680000,0.1855995,0.3991643
0.7700000,0.1878082,0.3937832
0.7720000,0.1914354,0.3975906
0.7740000,0.1935969,0.4073658
0.7760000,0.1913297,0.4022372
0.7780001,0.1830903,0.4072219
0.7800000,0.1732861,0.4001779
0.7820001,0.1801728,0.3893799
0.7840000,0.1788206,0.3929935
0.7860000,0.1897532,0.3711260
0.7880000,0.1918413,0.3801697
0.7900000,0.1908370,0.3793153
0.7920001,0.1789924,0.3762545
0.7940000,0.1799534,0.3855709
0.7960001,0.1856243,0.3767317
0.7980000,0.1868669,0.3763078
0.8000000,0.1903736,0.3735114
0.8020000,0.2033940,0.3661746
0.8040000,0.2049764,0.3575174
0.8060001,0.1998710,0.3601725
0.8080000,0.2017382,0.3582231
0.8100001,0.2125846,0.3576886
0.8120000,0.2103506,0.3643214
